,st.index,st,log.inv.age1,log.inv.prec.age1
1,1,1,3.104763721,0.113413658
2,2,10A,-0.927498946,0.112408625
107,3,10C,-1.48101035,0.093152441
54,4,10F,-1.989289148,0.099477914
3,5,11A,-2.745097239,0.107713549
56,6,11C,-1.290140438,0.092413194
57,7,11D,-1.346206338,0.092674336
58,8,11F,-1.4558746,0.093572025
59,9,12A,-1.29045233,0.091678045
4,10,12F,2.14698533,0.114159592
5,11,13,-2.23373429,0.098930102
6,12,14,0.800329217,0.114435048
7,13,15A,-1.211622508,0.112537939
8,14,15B/C,-0.964072966,0.113169586
9,15,15F,-2.306784246,0.098746322
10,16,16A,-1.771953158,0.095974773
11,17,16F,-0.45901482,0.113204532
12,18,17A,-2.026349816,0.097806005
13,19,17F,-1.433813159,0.110711238
14,20,18A,0.646165908,0.108390595
15,21,18B,1.426604379,0.11077124
16,22,18C,1.148850645,0.113532469
17,23,18F,-0.716643451,0.102539945
18,24,19A,0.512455742,0.114114426
19,25,19C,-1.609359034,0.09403059
20,26,19F,-0.376432852,0.11327978
21,27,20,-0.937992246,0.103477025
22,28,21,-1.270272059,0.110096641
23,29,22A,-0.841576008,0.104034059
160,30,22B,-1.054295448,0.090098997
24,31,22F,-0.439083224,0.113746835
25,32,23A,-2.335455454,0.107743493
26,33,23B,-1.282882487,0.112246833
27,34,23F,-0.263666337,0.113902792
28,35,24B,-1.643410886,0.095347922
83,36,24F,-1.323169748,0.091732122
123,37,27,0.813370091,0.105718981
166,38,28,-1.188181536,0.093040717
167,39,29,-1.106615577,0.090814893
29,40,3,0.338092466,0.113583591
30,41,31,-1.703601483,0.108663993
170,42,32F,-1.112906102,0.090747249
31,43,33A,-2.014763891,0.097355654
32,44,33F,-0.670583208,0.112303534
33,45,34,-2.097845695,0.106860033
34,46,35A,-2.692786247,0.100060009
35,47,35B,-1.698984869,0.112591038
91,48,35C,-1.504526352,0.094295349
36,49,35F,-3.130912861,0.101734223
177,50,36,-1.073424367,0.091548149
37,51,37,-2.113967712,0.098404288
38,52,38,-0.247035607,0.1118666
180,53,39,-1.172319357,0.090187472
39,54,4,1.293573839,0.114229029
182,55,43,-1.070892172,0.089806496
40,56,46,-1.613918713,0.09423722
41,57,5,2.112064176,0.112409414
42,58,6A/C,-1.265248651,0.113402662
43,59,6B,0.128411273,0.114209264
98,60,7A,-1.733062332,0.095977054
44,61,7C,-1.846097541,0.106384441
45,62,7F,2.505793593,0.114050753
46,63,8,0.281582116,0.111374344
47,64,9A,-1.692793556,0.095426523
48,65,9L,-0.862448225,0.107509889
49,66,9N,-1.074002816,0.104930523
50,67,9V,0.542615477,0.113481353
51,68,NT,-1.52726245,0.112262717
